wav,start,end,duration
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,165.5,166.5,1.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,234.5,235.5,1.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,236.0,237.0,1.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,247.5,248.0,0.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,274.5,275.5,1.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,313.0,314.0,1.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,383.5,384.5,1.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,385.5,387.0,1.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,490.5,491.0,0.5
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,393.5,394.0,0.5
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,396.5,397.5,1.0
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,463.0,464.0,1.0
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,487.0,488.0,1.0
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,635.0,636.0,1.0
