wav,start,end,duration
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,112.2,112.4,0.2
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,165.5,166.0,0.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,235.2,237.4,2.2
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,238.9,239.4,0.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,274.1,275.0,0.9
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,275.3,275.6,0.3
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,312.5,313.7,1.2
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,383.0,383.8,0.8
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,385.2,386.8,1.6
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,252.8,253.0,0.2
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,396.8,397.2,0.4
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,486.8,487.7,0.9
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,634.8,635.8,1.0
