wav,start,end,duration
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,165.4,166.9,1.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,234.4,237.4,3.0
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,274.3,275.7,1.4
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,312.6,314.1,1.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,383.2,384.7,1.5
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,385.3,387.0,1.7
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,396.4,397.9,1.5
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,462.7,464.1,1.4
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,486.8,488.3,1.5
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,634.8,636.3,1.5
